Style #	Factory	Cust Del	Description	Fabric/ Trim	Type	Units	Pack	Price	Rate	LC	Extra Cost	Total Cost	Actual Selling Price	Margin Achieved	Cost	Revenue	Profit	Profit Per Pack	1	2
THB13	MLF	15-May-23	navy & burgendy lace thong with cream elastics	Elastic 	lace thong	2900	3	6,30	3,87	 R73,16 		 R73,16 	99,15	26%	 R212 169,51 	 R287 535,00 	 R75 365,49 	 R25,99 	1,02	0,51
																				
THB14		01-Sept-23	Black & white lace & mesh push up w branding	Branded elastic 	Non padded 	2200	2	12,50	4,04	 R101,00 		 R101,00 	131,20	23%	 R222 200,00 	 R288 640,00 	 R66 440,00 	 R30,20 	2,02	1,01
THB15		01-Sept-23	Low rise brazilian 	Branded elastic 	low rise brazilian	2200	3	6,90	4,04	 R83,63 		 R83,63 	102,80	19%	 R183 981,60 	 R226 160,00 	 R42 178,40 	 R19,17 	1,11	0,56
																				
THB20	MLF	09-Oct-23	Cinnamon & champagne  non-padded bra 	Lace & mesh 	Underwrie non-padded bra 	2460	2	13,20	4,04	 R106,66 		 R106,66 	140,00	24%	 R262 373,76 	 R344 400,00 	 R82 026,24 	 R33,34 	2,13	1,06
THB21	MLF	09-Oct-23	Cinnamon & champagne & charcoal  Miami	Lace & mesh 	Miami 	2460	3	6,70	4,04	 R81,20 		 R81,20 	107,50	24%	 R199 761,84 	 R264 450,00 	 R64 688,16 	 R26,30 	1,08	0,54
THB22	MLF	09-Oct-23	Charcoal & white underwrie top 	Lace & mesh 	Top 	2535	2	16,00	4,04	 R129,28 		 R129,28 	170,00	24%	 R327 724,80 	 R430 950,00 	 R103 225,20 	 R40,72 	2,58	1,29
																				
																				
THB23	MLF		black and white non padded with branded elastic	black & pink 	non padded bras 	2520	2	12,70	4,20	 R106,68 		 R106,68 	138,00	23%	 R268 833,60 	 R347 760,00 	 R78 926,40 	 R31,32 	2,05	1,02
THB24	MLF		matching Low rise 	black & pink 	Ultra low fit 	2520	3	7,00	4,20	 R88,20 		 R88,20 	100,30	12%	 R222 264,00 	 R252 756,00 	 R30 492,00 	 R12,10 	1,13	0,56
																				
TP198	HSF	03-Jan-24	Orchid & charcoal push up long line bra	long line 	push up bra peep 	2500	2	15,65	4,20	 R131,46 		 R131,46 	155,90	16%	 R328 650,00 	 R389 750,00 	 R61 100,00 	 R24,44 	2,52	1,26
TP199	HSF	03-Jan-24	Orchid, charcoal Brazilian 	Brazilain 	Brazilian 	2500	3	7,00	4,20	 R88,20 		 R88,20 	116,50	24%	 R220 500,00 	 R291 250,00 	 R70 750,00 	 R28,30 	1,13	0,56
																				
THB25	MLF	06-May-24	Sage & Charcoal crop top - branded waist band	Crop top 	Crop top 	2800	2	12,40	4,20	 R104,16 		 R104,16 	130,00	20%	 R291 648,00 	 R364 000,00 	 R72 352,00 	 R25,84 	2,00	1,00
THB26	MLF	06-May-24	Sage and Charcoal lace Gee - branded waist band	lace Gee	lace Gee	2800	3	5,45	4,20	 R68,67 		 R68,67 	99,00	31%	 R192 276,00 	 R277 200,00 	 R84 924,00 	 R30,33 	0,88	0,44
																				
THB30	MLF	01-Jul-24	Mauve & black cotton -  moulded	UW cotton dart	Cotton Lycra 	2500	2	12,40	4,20	 R104,16 		 R104,16 	134,00	22%	 R260 400,00 	 R335 000,00 	 R74 600,00 	 R29,84 	2,00	1,00
THB31	MLF	01-Jul-24	Mauve, black & terrocotta low rise brazilain 	Braz - lip elastic	Cotton Lycra 	2500	3	6,80	4,20	 R85,68 		 R85,68 	106,00	19%	 R214 200,00 	 R265 000,00 	 R50 800,00 	 R20,32 	1,10	0,55
																				
TP202	RDY	01-Jul-24	Mauve & charocal triangle satin & lace	Removable padding	lace & satin	2500	2	13,50	4,20	 R113,40 		 R113,40 	141,00	20%	 R283 500,00 	 R352 500,00 	 R69 000,00 	 R27,60 	2,18	1,09
TP203	RDY	01-Jul-24	Mauve & charocal & lime satin & lace	lace brazilain 	lace & satin	2500	3	6,50	4,20	 R81,90 		 R81,90 	105,90	23%	 R204 750,00 	 R264 750,00 	 R60 000,00 	 R24,00 	1,05	0,52
																				
THB28	RDY	30-Sept-24	Sage & charcoal melange ribbed cotton UW bra	UW cotton dart	Cotton Lycra ribbed	2500	2	13,50	4,20	 R113,40 		 R113,40 	141,00	20%	 R283 500,00 	 R352 500,00 	 R69 000,00 	 R27,60 	2,18	1,09
THB29	RDY	01-Oct-24	Low rise cheekini panty	Low rise cheekini	Cotton Lycra ribbed	2500	3	6,80	4,20	 R85,68 		 R85,68 	106,00	19%	 R214 200,00 	 R265 000,00 	 R50 800,00 	 R20,32 	1,10	0,55
THB32	RDY	02-Oct-24	low riese thong	LR thong	Cotton Lycra ribbed	2500	3	6,50	4,20	 R81,90 		 R81,90 	102,50	20%	 R204 750,00 	 R256 250,00 	 R51 500,00 	 R20,60 	1,05	0,52
																				
TP204	RDY	30-Sept-24	2pk T-shirt bra in full lace (wings lined)	T-shirt bra	Padded T-shirt bra	2800	2	12,90	4,20	 R108,36 		 R108,36 	138,00	21%	 R303 408,00 	 R386 400,00 	 R82 992,00 	 R29,64 	2,08	1,04
TP205	RDY	30-Sept-24	3pk low rise hip hugger boxer (scallop on waist and legs)	LR boxer	Low rise boxer -NO mesh lining	2800	3	6,60	4,20	 R83,16 		 R83,16 	110,10	24%	 R232 848,00 	 R308 280,00 	 R75 432,00 	 R26,94 	1,06	0,53
																				
THB33	RDY	10-Feb-25	Padded tri-angle dobby mesh & lace	Triangle push up 	lace & dobby mesh 	2200	2	13,40	4,28	 R114,70 		 R114,70 	140,50	18%	 R252 348,80 	 R309 100,00 	 R56 751,20 	 R25,80 	2,16	1,08
THB34	RDY	10-Feb-25	low wires bottoms 	Miami fit	lace & dobby mesh 	2200	3	6,50	4,28	 R83,46 		 R83,46 	106,00	21%	 R183 612,00 	 R233 200,00 	 R49 588,00 	 R22,54 	1,05	0,52
						2200	3	7,20	4,28	 R92,45 		 R92,45 	118,00	22%	 R203 385,60 	 R259 600,00 	 R56 214,40 	 R25,55 	1,16	0,58
																				
TP206	RDY	01-Apr-25	Non padded lace bra with mesh lined wings	Non padded bras 	Non padded bras 	2100	2	14,10	4,31	 R121,54 		 R121,54 	149,00	18%	 R255 238,20 	 R312 900,00 	 R57 661,80 	 R27,46 	2,27	1,14
TP207	RDY	01-Apr-25	3pk Low rise hip hugger boxer with mesh lining	Low rise brazilian 	Low rise brazilian 	2100	3	7,02	4,31	 R90,77 		 R90,77 	109,20	17%	 R190 614,06 	 R229 320,00 	 R38 705,94 	 R18,43 	1,13	0,57
																				
TP213	RDY	06-Oct-25	Coral & charcoal - demi cup dobby mesh	Demi cup	mesh & lace 	2200	2	14,30	4,31	 R123,27 		 R123,27 	148,50	17%	 R271 185,20 	 R326 700,00 	 R55 514,80 	 R25,23 	2,31	1,15
TP214	RDY	06-Oct-25	coral, Charcoal & lime green Miami - Hipster tanga	Miami fit	mesh & lace 	2200	3	6,80	4,31	 R87,92 		 R87,92 	109,80	20%	 R193 432,80 	 R241 560,00 	 R48 127,20 	 R21,88 	1,10	0,55
								 												
TP218	RDY	06-Oct-25	Two tone pink & purple padded bra - Diamante	Padded bra	Two tone & mesh & diamante 	2200	2	14,80	4,28	 R126,69 		 R126,69 	153,00	17%	 R278 713,60 	 R336 600,00 	 R57 886,40 	 R26,31 	2,39	1,19
TP219	RDY	06-Oct-25	Two tone pink & purple padded brazilian - Diamante 	Brazilian 	Two tone & mesh & diamante 	2200	3	8,20	4,28	 R105,29 		 R105,29 	124,00	15%	 R231 633,60 	 R272 800,00 	 R41 166,40 	 R18,71 	1,32	0,66
																				
																				
TP223 	Griea	09-Mar-26	Spot print & pink Push up Multiway 	Polyester MF 	Multiway 	2800	2	13,90	4,31	 R119,82 		 R119,82 	149,00	20%	 R335 490,40 	 R417 200,00 	 R81 709,60 	 R29,18 	2,24	1,12
TP225	Griea	09-Mar-26	Spot print, pink & black Thong 	Polyester MF 	Thong 	2800	3	6,60	4,31	 R85,34 		 R85,34 	106,00	19%	 R238 946,40 	 R296 800,00 	 R57 853,60 	 R20,66 	1,06	0,53
																				
THB40	RDY	02-Feb-26	Mauve & Sage soft short cup UW bra	lace & dobby 	UW lace	2800	2	14,40	4,31	 R124,13 		 R124,13 	148,80	17%	 R347 558,40 	 R416 640,00 	 R69 081,60 	 R24,67 	2,32	1,16
THB41	RDY	02-Feb-26	Mavue, sage & yelllow brazilian 	lace & dobby 	Brazilian 	2800	3	7,30	4,31	 R94,39 		 R94,39 	112,50	16%	 R264 289,20 	 R315 000,00 	 R50 710,80 	 R18,11 	1,18	0,59
		#REF!				2800	3	7,50	4,31	 R96,98 		 R96,98 	115,50	16%	 R271 530,00 	 R323 400,00 	 R51 870,00 	 R18,53 	1,21	0,60
		#REF!				2800	3	7,50	4,31	 R96,98 		 R96,98 	114,50	15%	 R271 530,00 	 R320 600,00 	 R49 070,00 	 R17,53 	1,21	0,60
																				
THB42	Griea	04-May-26	Flock demi cups - lemon & choc	Flock 	UW lace	2700	2	13,50	4,31	 R116,37 		 R116,37 	149,00	22%	 R314 199,00 	 R402 300,00 	 R88 101,00 	 R32,63 	2,18	1,09
THB43	Griea	04-May-26	Flock lemon, choc & pink- brazilian - Low rise 	Flock 	Brazilian 	2900	3	7,00	4,31	 R90,51 		 R90,51 	109,00	17%	 R262 479,00 	 R316 100,00 	 R53 621,00 	 R18,49 	1,13	0,56
		#REF!								 R-   		 R-   		#DIV/0!	 R-   	 R-   	 R-   	 R-   	0,00	0,00
																				
		#REF!								 R-   		 R-   		#DIV/0!	 R-   	 R-   	 R-   	 R-   	0,00	0,00
																				
																				
